siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3202; Noyant-d'Allier;737;721
240300715;CC Bocage Sud;CC;4TX;6364;6205;159;14;3292; Tronget;956;931
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3064; Château-sur-Allier;172;168
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3146; Limoise;255;170
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3198; Neure;176;173
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3090; Couzon;306;295
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3241; Saint-Léopardin-d'Augy;387;357
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3210; Pouzy-Mésangy;435;420
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3309;Le Veurdre;592;550
240300723;CC du Pays de Lévis en Bocage Bourbonnais;CC;4TX;4480;4261;219;8;3155; Lurcy-Lévis;2157;2128
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3150; Louroux-Bourbonnais;239;231
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3312; Vieure;267;255
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3218; Saint-Aubin-le-Monial;302;294
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3012; Autry-Issards;325;317
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3002; Agonges;380;371
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3251; Saint-Plaisir;434;417
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3117; Franchesse;464;453
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3320; Ygrande;784;756
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3247; Saint-Menoux;960;920
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3046; Buxières-les-Mines;1107;1089
240300731;CC en Bocage Bourbonnais;CC;4TX;7953;7720;233;11;3036; Bourbon-l'Archambault;2691;2617
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3245; Saint-Martin-des-Lais;142;141
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3057;La Chapelle-aux-Chasses;229;226
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3119; Gannay-sur-Loire;411;406
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3203; Paray-le-Frésil;434;428
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3074; Chevagnes;719;701
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3120; Garnat-sur-Engièvre;737;721
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3283; Thiel-sur-Acolin;982;959
240300756;CC du Pays de Chevagnes en Sologne Bourbonnaise;CC;4TX;5279;5163;116;8;3156; Lusigny;1625;1581
240400010;CC de Teillon;CC;4TX;455;443;12;3;4210; Soleilhas;109;107
240400010;CC de Teillon;CC;4TX;455;443;12;3;4069; Demandolx;128;125
240400010;CC de Teillon;CC;4TX;455;443;12;3;4148; Peyroules;218;211
240400135;CC du Pays de Seyne;CC;4TX;2827;2743;84;8;4191; Saint-Martin-lès-Seyne;19;19
240400135;CC du Pays de Seyne;CC;4TX;2827;2743;84;8;4235; Verdaches;65;63
240400135;CC du Pays de Seyne;CC;4TX;2827;2743;84;8;4017; Auzet;85;82
